nombre,atc,estado,fecha_seguimiento,listado
FACTOR VIII + FACTOR VON WILLEBRAND (Con proporción de Factor VW superior a la de Factor VIII) POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE (500 UI + 600 UI)/vial,B02BD06,monitorizacion,2026-02-27,activo
FACTOR VIII + FACTOR VON WILLEBRAND (Con proporción de Factor VW igual a la de Factor VIII) POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE (1000 UI + 1000 UI)/vial,B02BD06,monitorizacion,2026-02-27,activo
FACTOR VIII + FACTOR VON WILLEBRAND (Con proporción de Factor VW igual a la de Factor VIII) POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE (500 UI + 500 UI + 7.50 mg)/vial,B02BD06,monitorizacion,2026-02-27,activo
FEBUXOSTAT CÁPSULA BLANDA 120 mg,M04AA03,monitorizacion,2026-02-27,activo
FENITOINA CÁPSULA DE LIBERACION PROLONGADA 100 mg,N03AB02,desabastecido,2026-04-30,activo
FENTANILO CITRATO SOLUCIÓN INYECTABLE 0.025 mg/ml y 0.05 mg/ml,N01AH01,monitorizacion,2026-04-24,activo
FIBRINOGENO HUMANO SOLUCIÓN INYECTABLE 1 mg/ml,B02BB01,monitorizacion,2026-04-30,activo
FITOMENADIONA ( VITAMINA K) SOLUCION INYECTABLE 1 mg/ml y 10 mg/ml,B02BA01,monitorizacion,2025-12-19,activo
FLUCONAZOL CAPSULA 200 mg,J02AC01,monitorizacion,2025-12-19,activo
FLUCONAZOL CÁPSULA DURA Y TABLETA 150 mg,J02AC01,monitorizacion,2025-12-19,activo
FLUCONAZOL + SECNIDAZOL 1000 mg + 75 mg TABLETA,J02AC01,monitorizacion,2025-12-16,activo
"FLUMAZENIL SOLUCIÓN INYECTABLE 0,5 mg/5 mL, 1 mg/5 mL y 1 mg/10 mL",V03AB25,monitorizacion,2025-07-31,activo
FLUOXETINA SOLUCION ORAL 400 mg / vial,N06AB03,monitorizacion,2026-04-30,activo
FOLINATO DE CALCIO POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE Y SOLUCIÓN INYECTABLE 50 mg/vial y 350 mg /vial,V03AF03,monitorizacion,2025-10-03,activo
FRACCIÓN FLAVÓNICA PURIFICADA MICRONIZADA (DIOSMINA 90% + HESPERIDINA 10%) TABLETA 500 mg,C05CA53,monitorizacion,2026-03-31,activo
FLUDROCORTISONA TABLETA 0.1 mg,H02AA02,monitorizacion,2025-12-17,activo
FUROSEMIDA SOLUCION INYECTABLE 20 mg/2 ml,C03CA01,monitorizacion,2026-02-27,activo
GABAPENTINA CÁPSULA DURA 300 mg y 400 mg,N03AX12,monitorizacion,2026-05-29,activo
GATIFLOXACINO + DEXAMETASONA SOLUCIÓN OFTÁLMICA (3 mg + 1 mg) / 1 mL,S01CA02,monitorizacion,2026-01-23,activo
GEFITINIB TABLETA 250 mg,L01EB01,monitorizacion,2026-02-27,activo
GIVOSIRAN SODICO SOLUCIÓN INYECTABLE 189 mg/ml,A16AX18,monitorizacion,2026-02-24,activo
GLIMEPIRIDA TABLETA 2 mg y 4 mg,A10BB12,monitorizacion,2026-04-30,activo
GLUCOSAMINA + CONDROITINA POLVO PARA RECONSTITUIR A SOLUCION ORAL (1500 mg + 1200 mg) / vial,M01AX25,monitorizacion,2026-04-30,activo
GONADOTROPINA CORIÓNICA HUMANA POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCIÓN INYECTABLE 5.000 UI / 3 ml,G03GA01,monitorizacion,2025-10-24,activo
HALOPERIDOL SOLUCIÓN INYECTABLE 5 mg/ ml,N05AD01,monitorizacion,2026-04-24,activo
HALOPERIDOL SOLUCION ORAL 2 mg/ml,N05AD01,monitorizacion,2026-04-21,activo
HALOPERIDOL TABLETA 5 mg y 10 mg,N05AD01,monitorizacion,2026-04-23,activo
HEPATITIS B ANTIGENO PURIFICADO SUSPENSION INYECTABLE 20 mcg / vial,J07BC01,monitorizacion,2025-07-31,activo
HIDRALAZINA SOLUCIÓN INYECTABLE 20 mg/ml,C02DB02,monitorizacion,2025-09-26,activo
"HIDROCORTISONA TABLETA 5 mg, 10mg y 20 mg",H02AB09,monitorizacion,2026-05-29,activo
HIDROCLOROTIAZIDA TABLETA 25 mg,N02AA03,monitorizacion,2026-02-27,activo
HIDROXICINA CLORHIDRATO SOLUCION INYECTABLE 100 mg/ 2 ml,R06AD01,monitorizacion,2026-03-31,activo
HIDROXICINA CLORHIDRATO SOLUCION ORAL 2.5 mg / ml y 10 mg / ml,R06AD01,monitorizacion,2026-02-28,activo
HIDROXICINA CLORHIDRATO TABLETA 25 mg,R06AD01,monitorizacion,2026-02-27,activo
HIDROXICLOROQUINA TABLETA 200 mg Y 400 mg,P01BA02,monitorizacion,2026-05-29,activo
"HIDROXIPROPILMETILCELULOSA SOLUCIÓN OFTÁLMICA 2,5 mg/ml y 3 mg/ml (2,5% Y 3%)",S01XA20,monitorizacion,2025-11-28,activo
"HIDROXIPROPILMETILCELULOSA + DEXTRAN 70 SOLUCIÓN OFTÁLMICA (3 mg + 1 mg) / mL (0,3%+0,1%)",S01XA20,monitorizacion,2025-10-01,activo
HIDROXIUREA (HIDROXICARBAMIDA) CÁPSULA DURA 500 mg y 1000 mg,L01XX05,monitorizacion,2026-04-30,activo
IFOSFAMIDA POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCIÓN INYECTABLE 1g / vial y 2g / vial,L01AA06,riesgo,2026-05-29,activo
IMATINIB TABLETA 100 mg y 400 mg,L01XE01,monitorizacion,2025-09-18,activo
